titlelb;publicscore;id
Albino Alligator;2,8;8744
Alex & Emma;2,3;17813
Alex Cross;1,9;94348
Alexander;2,6;1966
alexander and the terrible horrible no good very bad day;2,6;218778
Alexander's Ragtime Band;3,1;43839
Alfie;3,4;8849
Ali;3,4;8489
Alice in Wonderland;3;12155
Alice Through the Looking Glass;2,7;241259
Alien;4,3;348
Alien Zone;2,7;77156
Alien: Resurrection;2,6;8078
Alien³;2,9;8077
Aliens;4,1;679
Aliens in the Attic;2,3;20856
Aliens vs Predator: Requiem;1,7;440
Alive;3,3;7305
All About Steve;1,9;23706
All About the Benjamins;2,7;13950
All Good Things;2,8;46503
All Hat;-;10914
All Is Bright;2,6;174311
All Is Lost;3,5;152747
All or Nothing;3,8;12454
All Superheroes Must Die;2,3;86304
All That Jazz;4,2;16858
All the Boys Love Mandy Lane;2,7;9022
All the King's Men;2,6;1717
All the Pretty Horses;2,7;21355
All The Queen's Men;2,5;31668
All the Real Girls;3,6;13132
Allegiant;2,2;262504
Alleluia! The Devil's Carnival;3,3;285743
Almost Famous;4;786
Aloft;2,6;251321
Aloha;2,2;222936
Alone in the Dark;3,2;12142
Alone With Her;2,9;18206
Along Came a Spider;2,9;2043
Along Came Polly;2,8;5966
Along the Roadside;3,2;173224
Alpha and Omega;1,8;12819
Alpha and Omega: The Legend of the Saw Tooth Cave;1,8;294512
Alvin and the Chipmunks;2,4;6477
Alvin and the Chipmunks: Chipwrecked;2;55301
Alvin and the Chipmunks: The Road Chip;1,9;258509
Alvin and the Chipmunks: The Squeakquel;2;23398
Amadeus;4,2;279
Amen.;3,4;9045
America Is Still the Place;-;380097
American Beauty;4;14
American Desi;3,1;32222
American Dreamz;2,4;9310
American Gangster;3,7;4982
American Graffiti;3,7;838
American Heist;2,2;250066
American Hero;2,5;367551
American History X;4;73
American Hustle;3,3;168672
American Ninja 2: The Confrontation;2,7;25678
American Outlaws;2,6;13496
American Pie;3,1;2105
American Pie 2;2,8;2770
American Psycho;3,9;1359
American Reunion;2,8;71552
American Sniper;3,2;190859
American Splendor;3,7;2771
American Wedding;2,7;8273
America's Sweethearts;2,6;11467
Amidst the Devil's Wings;-;378237
Amigo;3,1;72913
Amistad;3,3;11831
Amnesiac;1,8;351043
Among Giants;3,1;125123
Amores perros;4,1;55
Amour;4,1;86837
An Alan Smithee Film: Burn, Hollywood;1,6;78149
An American Carol;1,4;13948
An American Haunting;2,1;10008
An American in Hollywood;-;282128
An Education;3,5;24684
An Everlasting Piece;3,1;29122
An Ideal Husband,3;1;24137
An Inconvenient Truth;3,4;1781
An Unfinished Life;3,1;1947
Anaconda;2,3;9360
Anacondas: The Hunt for the Blood Orchid;2,2;11237
Analyze That;2,7;9932
Analyze This;3,2;9535
Anastasia;3,7;9444
Anatomie;-;1698
Anchorman 2: The Legend Continues;2,8;109443
Anchorman: The Legend of Ron Burgundy;3,5;8699
And So It Goes;2,5;253235
And Then Came Love;-;29731
And When Did You Last See Your Father?;3,2;45791
Anderson's Cross;-;324352
Angel Eyes;2,5;5852
Angela's Ashes;3,5;10397
Angels & Demons;3;13448
Animal House;3,5;8469
Animal Kingdom: Lets go Ape;2;280391
Animals;3,3;253253
Anna and the King;3;1439
Anna Karenina;3,5;96724
Annabelle;2,4;250546
Anne of Green Gables;4,2;17663
Annie;3,2;196867
Annie Get Your Gun;3,1;25209
Annie Hall;4;703
Anomalisa;3,8;291270
Anonymous;2,9;61891
Another Earth;3,4;55420
Another Happy Day;3,1;60422
Another Year;3,9;44009
Antarctic Edge: 70 South;3,3;335244
Antarctica: A Year on Ice;3,6;201132
Antibirth;2,6;332285
Antitrust;2,6;9989
Antiviral;3,2;125490
Ant-Man;3,3;102899
Antwone Fisher;3,4;13435
Antz;2,7;8916
Any Given Sunday;3,2;9563
Anything Else;2,9;10739
Anywhere But Here;3;21349
Apocalypse Now;4,4;28
Apocalypto;3,7;1579
Apollo 13;3,7;568
Apollo 18;2,1;50357
Appaloosa;3,1;12690
April Fool's Day;3,1;24913
Aqua Teen Hunger Force Colon Movie Film for Theaters;3,3;13158
Aquamarine;3,2;14191
Arachnophobia;3,2;6488
Ararat;3,2;16351
Arbitrage;3,1;60599
Archaeology of a Woman;-;288927
Are We There Yet?;2,3;11637
Area 51;1,8;57876
Argo;3,6;68734
Arlington Road;3,4;1073
Armageddon;3;95
Armored;2,5;4597
Army of Darkness;3,7;766
Arn: Tempelriddaren;2,9;13491
Arnolds Park;-;181940
Around the World in 80 Days;2,6;10204
Aroused;3,2;178862
Arthur Christmas;3,4;51052
Arthur et les Minimoys;2,7;9992
As Above, So Below;3,2;256274
As Good as It Gets;3,5;2898
Ask Me Anything;2,7;271185
