titlelb;publicscore;id
Danny Collins;3,2;256924
Dante's Peak;2,8;9619
Dark Blue;3,1;4911
Dark City;3,7;2666
Dark Shadows;2,7;62213
Dark Water;3,4;9009
Darkness;2,5;11056
Darkness Falls;2,2;10727
Darling Companion;2,3;89325
Darling Lili;3,2;42586
Das Boot;4,2;387
Das Leben der Anderen;4,1;582
Das weisse Band;4,1;37903
Date Movie;1,2;10073
Date Night;2,8;35056
Dave Chappelle's Block Party;3,7;292
Dawn of the Crescent Moon;-;326576
Dawn of the Dead;3,4;924
Dawn of the Planet of the Apes;3,7;119450
Dawn Patrol;2,4;299145
Day of the Dead;3,7;8408
Daybreakers;2,9;19901
Daylight;2,8;11228
Days of Heaven;4;16642
Days of Thunder;3;2119
Dazed and Confused;3,9;9571
De jurk;3,4;5900
Dead Like Me: Life After Death;2,9;14849
Dead Man Down;2,8;102362
Dead Man on Campus;2,6;14557
Dead Man Walking;3,6;687
Dead Man's Shoes;3,8;12877
Dead Poets Society;4,2;207
Deadfall;2,7;97614
Deadline - U.S.A.;3,5;36334
Deadpool;3,7;293660
Dear Frankie;3,5;8981
Dear John;2,8;22971
Dear Wendy;3,2;10913
Death at a Funeral;3,5;2196
Death Becomes Her;3,6;9374
Death Calls;-;300327
Death Race;2,7;10483
Death Race 2000;3,3;13282
Death Sentence;3,1;11835
Death to Smoochy;3,1;9275
Deceptive Practice: The Mysteries and Mentors of Ricky Jay;3,5;180383
Deck the Halls;2,2;9969
Deconstructing Harry;3,6;2639
Decoys;2,4;18442
Deep Blue Sea;2,8;8914
Deep Impact;2,8;8656
Deep Rising;3;9457
Def-Con 4;2,4;42033
Defendor;3;34769
Definitely, Maybe;3,3;8390
Deja Vu;3,3;161795
Delgo;1,6;20542
Deliver Us from Evil;2,6;184346
Delivery Man;2,7;146239
De-Lovely;3;15237
Demonic;1,9;234212
Departure;3,2;361475
Der Baader Meinhof Komplex;3,5;6968
Der Untergang;4;613
Derailed;2,8;8999
Des hommes et des dieux;3,6;46332
Desert Blue;3;41730
Desert Dancer;3,1;266102
Desperado;3,4;8068
Despicable Me;3,4;20352
Despicable Me 2;3;93456
Detention;3,1;68684
Detention of the Dead;2,3;139715
Deterrence;3,1;25212
Detroit Rock City;3,4;9781
Deuce Bigalow: European Gigolo;1,8;11453
Deuce Bigalow: Male Gigolo;2,2;10402
Deuces Wild;2,4;13201
Deux frères;3,1;1997
Devil;2,6;44040
Devil's Due;1,8;79316
Diamond Ruff;-;325579
Diamonds Are Forever;2,8;681
Diary of a Mad Black Woman;2,7;16186
Diary of a Wimpy Kid;3;33217
Diary of a Wimpy Kid: Dog Days;2,9;82650
Diary of a Wimpy Kid: Rodrick Rules;3,5;60307
Diary of the Dead;2,4;13025
Dick;3,4;16406
Dick Tracy;3,3;8592
Dickie Roberts: Former Child Star;2,3;13778
Did You Hear About the Morgans?;2,2;24438
Die Another Day;2,4;36669
Die Büchse der Pandora;3,9;905
Die Hard;4,1;562
Die Hard 2;3,3;1573
Die Hard: With a Vengeance;3,6;1572
Die Schlangengrube und das Pendel;3;12602
Die Welle;3,6;7735
Digimon: The Movie;3,1;20455
Dil to Bhi Kahey...;-;74084
Diner;3,5;13776
Dinner for Schmucks;2,5;38778
Dinner Rush;3,5;22617
Dinosaur;2,8;10567
Dirty Grandpa;2,2;291870
Dirty Pretty Things;3,5;3472
Dirty Work;3,2;14577
Disaster Movie;1;13805
Disclosure;2,7;8984
District 9;3,7;17654
Disturbia;3,1;8271
Disturbing Behavior;2,8;9424
Divergent;2,8;157350
Divine Secrets of the Ya-Ya Sisterhood;3,1;9583
Django Unchained;4,2;68718
Do the Right Thing;4,3;925
Do You Believe?;2,4;309425
DOA: Dead or Alive;2,2;9053
Doc Holliday's Revenge;-;272724
Doctor Dolittle;2,5;3050
Doctor Zhivago;3,8;907
Død snø;3;14451
DodgeBall: A True Underdog Story;3,2;9472
Dogma;3,5;1832
Dogtooth;3,8;38810
Dogtown and Z-Boys;3,7;1282
Dolphin Tale;2,8;62837
Dolphin Tale 2;2,5;227735
Dolphins and Whales: Tribes of the Ocean;3,3;57612
Dom Hemingway;2,8;192134
Domestic Disturbance;2,5;11456
Domino;2,7;9923
Don Gato: El inicio de la pandilla;1,9;293644
Don Jon;2,9;138697
Don Juan DeMarco;2,9;1909
Don McKay;2,8;35689
Donkey Punch;2,2;13429
Donnie Brasco;3,7;9366
Donnie Darko;4;141
Donovan's Reef;3,4;15875
Don't Be Afraid of the Dark;2,6;46261
Don't Say a Word;2,8;12103
Doogal;1,6;24432
Doom;2;8814
Doomsday;2,8;13460
Dope;3,5;308639
Double Impact;2,7;9594
Double Jeopardy;3;10398
Double Take;2,3;18828
Doubt;3,8;14359
Doug's 1st Movie;2,5;16508
Down & Out With The Dolls;-;114065
Down in the Valley;3;7870
Down Terrace;3,4;42151
Down to Earth;2,5;16300
Down to You;2,2;10472
Dr. Dolittle 2;2,1;10808
Dr. No;3,4;646
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;4,2;935
Dracula;3,6;6114
Dracula 2000;2,2;10577
Dracula Untold;2,6;49017
Dracula: Pages from a Virgin's Diary;3,5;55616
Draft Day;3;200505
Drag Me to Hell;3,2;16871
Dragon Blade;2,4;300168
Dragon Nest: Warriors' Dawn;2,9;257932
Dragonball Evolution;0,8;14164
Dragonfly;2,7;10052
DragonHeart;2,9;8840
Dragonslayer;3,2;848
Dream House;2,5;69668
Dream with the Fishes;3,5;47686
Dreamcatcher;2,4;6171
Dreamer: Inspired By a True Story;3;12920
Dreamgirls;3,5;1125
Dreaming of Joseph Lees;3,2;108346
Dredd;3,6;49049
Drei;3,3;53256
Dressed to Kill;3,6;11033
Drillbit Taylor;2,4;8457
Drinking Buddies;3,1;172533
Drive;4;64690
Drive Angry;2,5;47327
Drive Hard;2,1;256092
Drive Me Crazy;3;14429
Driven;2;10477
Driving Lessons;3,1;11404
Driving Miss Daisy;3,2;403
Drop Dead Gorgeous;3,8;10490
Drowning Mona;2,7;25166
Drumline;3;13497
Dry Spell;-;255266
D-Tox;2,4;10375
Dude Where's My Dog?;1,8;272726
Dude, Wheres My Car?;2,6;8859
Dudley Do-Right;1,8;17709
Due Date;2,8;41733
Due occhi diabolici;3,1;29514
Duel in the Sun;3,3;32275
Duets;2,7;18074
Dum Maaro Dum;2,8;63006
Duma;3,4;15907
Dumb and Dumber;3,3;8467
Dumb and Dumber To;2,3;100042
Dumb and Dumberer: When Harry Met Lloyd;1,5;10152
Dune;4;841
Dungeons & Dragons: Wrath of the Dragon God;2,1;9288
Duplex;2,7;7288
Duplicity;2,8;16558
Dutch Kills;-;366967
Dwegons;1,8;239897
Dying of the Light;2,7;297596
Dylan Dog: Dead of Night;2,1;43935
Dysfunctional Friends;2,9;98557
DysFunktional Family;3,2;17995
E.T. the Extra-Terrestrial;3,8;601
Eagle Eye;2,7;13027
Earth to Echo;2,7;238603
East Is East;3,3;10557
Eastern Promises;3,8;2252
Easy A;3,4;37735
Easy Virtue;3;16899
Eat Pray Love;2,9;38167
Echo Dr.;-;270554
Ed and His Dead Mother;2,9;44562
Ed Wood;4;522
Eddie the Eagle;3,5;319888
Eddie: The Sleepwalking Cannibal;2,9;100275
Eden;3,4;360339
Eden Lake;3,3;13510
Edge of Darkness;2,9;12201
Edge of Tomorrow;3,7;137113
Edmond;3,1;18191
Edtv;2,7;11374
Edward Scissorhands;3,9;162
Eight Below;3,1;9036
Eight Legged Freaks;2,5;8869
El Crimen del Padre Amaro;3,3;542
El laberinto del fauno;4,1;1417
El Mariachi;3,3;9367
El orfanato;3,6;6537
El Rey de Najayo;-;119657
El secreto de sus ojos;4,1;25376
Election;3,8;9451
Elektra;1,6;9947
Elf;3,5;10719
Elizabeth;3,5;4518
Elizabeth: The Golden Age;3,2;4517
Elizabethtown;2,9;9621
Ella Enchanted;3,3;14442
Elle s'appelait Sarah;3,5;53457
Elling;3,6;6007
Elmer Gantry;3,8;22013
Elsa & Fred;3,1;268171
Elysium;2,9;68724
Emma;4;183894
Employee of the Month;2,3;9794
Enchanted;3,5;4523
End of Days;2,6;9946
End of the Spear;3;14120
End of Watch;3,6;77016
Ender's Game;2,7;80274
Endless Love;2,7;226857
Enemy at the Gates;3,4;853
Enemy of the State;3,4;9798
Enough;2,9;1957
Enough Said;3,5;209263
Enter Nowhere;3;98568
Enter the Dangerous Mind;2,4;176077
Enter the Void;3,7;34647
Entrapment;2,7;1844
Entre les murs;3,6;8841
Envy;2,2;10710
Epic;2,7;116711
Epic Movie;1,1;9760
Equilibrium;3,2;7299
Eragon;1,7;2486
Eraser;2,8;9268
Eraserhead;3,9;985
Erin Brockovich;3,7;462
Ernest et Celestine;4;126319
Escape from Alcatraz;3,7;10734
Escape from L.A.;2,8;10061
Escape from New York;3,6;1103
Escape from Planet Earth;2,1;68179
Escape from the Planet of the Apes;3,1;1687
Escape from Tomorrow;2,2;158752
Escape Plan;2,9;107846
Escobar: Paradise Lost;2,8;255343
Eternal Sunshine of the Spotless Mind;4,2;38
Eulogy;2,8;16358
EuroTrip;2,9;9352
Evan Almighty;2,3;2698
Event Horizon;3,3;8413
EverAfter;3,5;9454
Everest;3,2;253412
Everybody's Fine;3,1;26171
Everyone Says I Love You;3,3;9716
Everything Must Go;3;45658
Everything Put Together;3,2;81220
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask;3,2;11624
Eve's Bayou;3,8;45153
Evil Dead;3,4;109428
Evil Dead II;4,1;765
Evita;3;8818
Evolution;2,7;330770
Ex Machina;4;264660
Exam;3;29917
Excessive Force;2,9;24227
Executive Decision;3;2320
Exiled;3,9;13807
eXistenZ;3,5;1946
Exit Wounds;2,5;10877
Exodus: Gods and Kings;2,4;147441
Exorcist II: The Heretic;2;11586
Exorcist: The Beginning;2,1;11026
Exotica;3,9;20156
Extract;2,8;12569
Extraordinary Measures;2,6;27569
Extreme Measures;2,8;11306
Extreme Movie;1,4;15544
Extreme Ops;2;15074
Extremely Loud & Incredibly Close;3;64685
Eye for an Eye;3,4;17182
Eye of the Beholder;2,3;18681
Eye of the Dolphin;3;46849
Eyes Wide Shut;4;345
F.I.S.T.;3;28932
Fabled;-;43743
Face/Off;3,4;754
Facing the Giants;2,4;18925
Factory Girl;3;12271
Fahrenheit 9/11;3,4;1777
Failure to Launch;2,4;6877
Fair Game;3;38363
Faith Connections;3,5;211086
Faith Like Potatoes;2,6;29697
Faithful;2,7;47502
Falcon Rising;2,6;270938
Fame;3,3;28665
Family Plot;3,3;5854
Fantasia;3,8;756
Fantasia 2000;3,5;49948
Fantastic Four;1,4;166424
Fantastic Mr. Fox;4,2;10315
Far from Heaven;3,7;10712
Farce of the Penguins;1,7;12486
Fascination;3,4;71547
Fast Five;3,4;51497
Fast Times at Ridgemont High;3,5;13342
Faster;2,7;41283
Fat Albert;2;15045
Fat, Sick & Nearly Dead;3,2;72914
Fatal Attraction;3,4;10998
Fear and Loathing in Las Vegas;3,7;1878
Fear Clinic;2,2;287524
FearDotCom;1,6;9544
Feast;4;10070
Felicia's Journey;3,4;47692
Femme Fatale;3,4;9280
Festen;3,9;309
Fetching Cody;3,2;46729
Fever Pitch;2,8;11431
Fiddler on the Roof;4;14811
Fido;3,2;10288
Fifty Dead Men Walking;3,1;17622
Fifty Shades of Black;1,4;351819
Fifty Shades of Grey;1,8;216015
Fight Club;4,3;550
Fight to the Finish;-;380733
Fight Valley;2,2;385383
Fighting Tommy Riley;3,1;47534
Filly Brown;2,8;84197
Final Destination;3,1;9532
Final Destination 2;2,9;9358
Final Destination 3;2,9;9286
Final Destination 5;2,8;55779
Final Fantasy: The Spirits Within;2,5;2114
Find Me Guilty;3,3;9950
Finding Forrester;3,3;711
Finding Nemo;4;12
Finding Neverland;3,4;866
Finishing The Game;3;13983
Firefox;2,7;10724
Fireproof;2,2;14438
Firestarter;1,8;11495
Firestorm;2,9;244114
Firewall;2,5;9754
First Blood;3,7;1368
First Knight;2,7;6520
First Love, Last Rites;3;118452
Fish Tank;3,8;24469
Fiza;2,9;56666
Flags of Our Fathers;3,3;3683
Flammen & Citronen;3,4;8883
Flash Gordon;3,2;3604
Flash of Genius;3,2;14914
Flashdance;3,1;535
Flatliners;3,1;1551
Flawless;3;31582
Fled;2,4;18550
Flicka;2,6;14012
Flight;3,3;87502
Flight of the Intruder;2,6;18886
Flight of the Phoenix;2,7;11866
Flightplan;2,9;9315
Flipped;3,8;43949
Flipper;2,3;36355
Flirting with Disaster;3,4;2074
Florence Foster Jenkins;3,1;315664
Flubber;2,5;9574
Flushed Away;3;11619
Flyboys;2,8;9664
Flying By;-;19615
Flywheel;2,1;17345
Focus;3;256591
Food Chains;3,4;292539
Food, Inc.;3,5;18570
Foodfight!;0,9;116977
Foolish;2,7;27455
Fool's Gold;2,5;8676
Footloose;3,3;1788
For a Good Time, Call...;3,1;84200
For Colored Girls;3,1;44944
For Greater Glory - The True Story of Cristiada;2,8;96399
For Love of the Game;2,9;10390
For Your Consideration;3,1;14799
For Your Eyes Only;3,1;699
Force 10 from Navarone;3,1;17339
Forget Me Not;3,7;27588
Forgetting Sarah Marshall;3,4;9870
Forrest Gump;4,1;13
Forsaken;2,9;354110
Fort McCoy;-;281230
Fortress;2,9;12088
Forty Shades of Blue;3,1;30082
Four Brothers;3,1;8292
Four Christmases;2,6;12193
Four Lions;3,8;37495
Four Rooms;3,1;5
Four Single Fathers;-;79587
Four Weddings and a Funeral;3,4;712
Frailty;3,5;12149
Frances Ha;4;121986
Frankenweenie;3,4;62214
Frat Party;2;26673
Freakonomics;3;43942
Freaky Deaky;2,4;168027
Freaky Friday;3,3;10330
Freddy Got Fingered;2,8;13166
Freddy vs. Jason;2,7;6466
Freddy's Dead: The Final Nightmare;2,2;11284
Free Birds;2,2;175574
Free State of Jones;3,1;316152
Free Style;2,7;39055
Freedom;3,7;288980
Freedom Writers;3,6;1646
Freeheld;3,2;306745
Freeway;3,4;11229
Freeze Frame;3,1;12612
Frenzy;3,6;573
Frequency;3,4;10559
Frida;3,6;1360
Friday;3,6;10634
Friday After Next;2,7;10426
Friday the 13th Part 2;3,1;9725
Friday the 13th Part III;2,8;9728
Friday the 13th Part VI: Jason Lives;3,3;10225
Friday the 13th Part VII: The New Blood;2,6;10281
Friday the 13th Part VIII: Jason Takes Manhattan;2,2;10283
Friday the 13th: A New Beginning;2,4;9731
Friday the 13th: The Final Chapter;3,2;9730
Friends with Benefits;2,9;50544
Friends with Money;2,7;8998
Fright Night;3,6;58151
From a Whisper to a Scream;3;39895
From Dusk Till Dawn;3,5;755
From Hell;3;768
From Here to Eternity;3,7;11426
From Justin to Kelly;1,4;31246
From Paris with Love;2,6;26389
From Russia with Love;3,6;657
Frost/Nixon;3,6;11499
Frozen;3,4;109445
Frozen River;3,5;10183
Fruitvale Station;3,9;157354
Fuel;3,4;13518
Fugly;2,4;281730
Full Frontal;2,6;15186
Fun Size;2,4;82679
Fun with Dick and Jane;2,8;7552
Funny Games;3,9;8461
Funny Ha Ha;3,4;33693
Funny People;3;20829
Fur: An Imaginary Portrait of Diane Arbus;3,1;18615
Furious 7;3,2;168259
Furry Vengeance;1,6;35169
Fury;3,6;228150
G.I. Jane;2,8;4421
G.I. Joe: Retaliation;2,3;72559
G.I. Joe: The Rise of Cobra;2,2;14869
Gabriela, Cravo e Canela;3,1;42109
Galaxina;2,1;33155
Galaxy Quest;3,7;926
Gamer;2,4;18501
Gandhi;3,6;783
Gandhi, My Father;3,4;38428
Gangs of New York;3,6;3131
Gangster Squad;2,7;82682
Garden State;3,4;401
Garfield;2,3;8920
Garfield: A Tail of Two Kitties;2,2;9513
Gattaca;3,7;782
Gentleman's Agreement;3,4;33667
Gentlemen Broncos;3,1;22820
George and the Dragon;2,6;5494
George of the Jungle;2,6;10603
George Washington;3,8;18292
Georgia Rule;2,6;13159
Gerry;3,3;1956
Get Carter;2,2;10461
Get Hard;2,4;257091
Get Him to the Greek;2,8;32823
Get Low;3,2;44718
Get on the Bus;3,6;49471
Get on Up;3,3;239566
Get Over It;2,7;10050
Get Rich or Die Tryin';2,9;10060
Get Shorty;3,4;8012
Get Smart;2,8;11665
Getaway;1,8;146227
Gettysburg;3,5;10655
G-Force;2;19585
Ghost;3,4;251
Ghost Dog: The Way of the Samurai;3,9;4816
Ghost Rider;2,2;1250
Ghost Rider: Spirit of Vengeance;1,9;71676
Ghost Ship;2,4;9645
Ghost Town;2,8;12797
Ghost World;3,6;1548
Ghostbusters;2,4;43074
Ghosts of Mars;2,4;10016
Ghosts of Mississippi;2,9;31908
Gigli;1,2;8046
Girl 6;3,2;61752
Girl with a Pearl Earring;3,2;3635
Girl, Interrupted;3,9;3558
GirlHouse;2,7;312791
Girls Gone Dead;1,9;117942
Give Me Shelter;-;274758
Gladiator;4;98
Glee: The Concert Movie;3,4;67675
Glengarry Glen Ross;3,9;9504
Gli intoccabili;3,7;45138
Glitter;1,8;10696
Glory;3,7;9665
Glory Road;3,2;9918
Go;3,5;9430
Go for It!;2,7;61038
Goal!: The Dream Begins;3;9763
Goddess of Love;2,8;347764
Gods and Generals;2,6;16072
Gods and Monsters;3,6;3033
God's Not Dead 2;1,3;347126
Gods of Egypt;1,9;205584
Godsend;2;11058
Going the Distance;2,9;38073
Gojira ni-sen mireniamu;3,1;10643
GoldenEye;3,5;710
Goldfinger;3,7;658
Gone Girl;4,1;210577
Gone in Sixty Seconds;2,9;9679
Gone with the Wind;3,8;770
Good;2,8;12410
Good Boy!;2,8;21765
Good bye, Lenin!;3,8;338
Good Deeds;2,6;62008
Good Dick;3;14758
Good Intentions;3,2;34417
Good Kill;2,9;253626
Good Luck Chuck;2;10030
Good Morning, Vietnam;3,6;801
Good Night, and Good Luck.;3,6;3291
Good Will Hunting;4,2;489
Goodbye Bafana;3,2;1874
GoodFellas;4,4;769
Goosebumps;2,8;257445
Gory Gory Hallelujah;3;281189
Gosford Park;3,6;5279
Gossip;2,7;18041
Gothika;2,6;4970
Grabbers;3,2;84204
Grace of Monaco;2,5;215211
Grace Unplugged;2,4;206284
Gracie;2,8;15568
Graduation Day;2,6;27420
Gran Torino;3,7;13223
Grand Theft Parsons;2,8;16433
Grandma's Boy;3;9900
Grave Encounters;2,9;50698
Gravity;3,5;49047
Grease;3,5;621
Green Lantern;1,7;44912
Green Room;3,7;313922
Green Street Hooligans: Underground;2,2;182873
Green Zone;3;22972
Gremlins;3,6;927
Gremlins 2: The New Batch;3,4;928
Gridiron Gang;3,1;9766
Griff the Invisible;3,1;66942
Grindhouse;3,6;285923
Groove;3,3;23655
Grosse Pointe Blank;3,6;9434
Groundhog Day;3,8;137
Growing Up Smith;3,3;426469
Grown Ups;3,7;38365
Grown Ups 2;2,3;109418
Grudge Match;2,6;64807
Guardians of the Galaxy;3,8;118340
Guess Who;2,5;11638
Guiana 1838;-;62402
Gulliver's Travels;2;38745
Gun Shy;2,4;29076
Gunless;3;43090
Guten Tag, Ramón;3,5;242575
H.;3,1;289180
Ha-Buah;3,4;15976
Hachi: A Dog's Tale;3,7;28178
Hackers;3,2;10428
Hai Marjawaan!;2,9;42057
Hail, Caesar!;3,2;270487
Hairspray;3,5;2976
Hakon Hakonsen;3;71805
Half Baked;3,1;9490
Half Nelson;3,5;7859
Half Past Dead;2;10167
Hall Pass;2,3;48988
Halloween;3,9;948
Halloween 4: The Return of Michael Myers;2,9;11357
Halloween 5: The Revenge of Michael Myers;2,2;11361
Halloween II;3,2;24150
Halloween III: Season of the Witch;3;10676
Halloween: Resurrection;1,7;11442
Halloween: The Curse of Michael Myers;2,1;10987
Hamlet;3,7;10549
Hamlet 2;3,1;12621
Hancock;2,7;8960
Hands of Stone;2,9;184341
Hang 'em High;3,3;4929
Hanging Up;2,3;10385
Hanna;3,3;50456
Hannah Montana: The Movie;3,2;18126
Hannibal Rising;2,5;1248
Hansel & Gretel: Witch Hunters;2,5;60304
Hansel and Gretel Get Baked;2,1;165864
Happily N'Ever After;1,9;5393
Happiness;3,9;10683
Happy Christmas;2,9;244534
Happy Feet;2,9;9836
Happy Feet Two;2,5;65759
Happy Gilmore;3,4;9614
Happy, Texas;2,9;24066
Hard Candy;3,5;2652
Hard Rain;2,8;11258
Hard to be a God;3,8;110402
Hardball;3;20857
Hardflip;2,5;112456
Harley Davidson and the Marlboro Man;2,8;2453
Harold & Kumar Escape from Guantanamo Bay;2,8;13335
Harold & Kumar Go to White Castle;3,3;11282
Harper;3,4;26268
Harriet the Spy;2,9;38223
Harrison Montgomery;-;279759
Harry Brown;3,3;25941
Harry Potter and the Chamber of Secrets;3,6;672
Harry Potter and the Goblet of Fire;3,8;674
Harry Potter and the Half-Blood Prince;3,7;767
Harry Potter and the Order of the Phoenix;3,7;675
Harry Potter and the Philosopher's Stone;3,8;671
Harry Potter and the Prisoner of Azkaban;4,1;673
Harsh Times;3;7873
Hart's War;2,8;10592
Harvard Man;2,3;27451
Hatchet;2,9;11908
Haute tension;3,2;10226
Hav Plenty;3,2;51955
Hayride;2,1;193603
Haywire;3;70435
He Got Game;3,6;9469
Head of State;2,6;9776
Head Over Heels;2,6;24940
Heartbeeps;2,1;73247
Heartbreakers;2,8;10833
Hearts in Atlantis;3,1;11313
Heaven is for Real;2,3;236751
Heavenly Creatures;3,7;1024
Heaven's Gate;3,7;10935
Heavy Metal;3,3;11827
Hedwig and the Angry Inch;4;13403
Heist;3,2;336004
Held Up;2,5;19489
Heli;3,5;186935
Hellboy;3,4;1487
Hellboy II: The Golden Army;3,4;11253
Hellraiser;3,5;9003
Hell's Angels;3,4;22301
Henry & Me;3;292481
Henry V;3,7;10705
Her;4;152601
Her Cry: La Llorona Investigation;-;220490
Herbie Fully Loaded;2,4;11451
Hercules;3,7;184315
Here Comes the Boom;2,6;87826
Here On Earth;2,2;13539
Hereafter;2,8;44603
Hero;3,8;79
Heroes of Dirt;-;354624
He's Just Not That Into You;2,8;10184
Hesher;3,3;44835
Hey Arnold! The Movie;2,9;17710
Hidalgo;3,1;2023
Hide and Seek;2,8;11096
High Anxiety;3,2;12535
High Crimes;2,8;11560
High Fidelity;3,6;243
High Heels and Low Lifes;2,8;10034
High Noon;3,9;288
High Plains Drifter;3,7;11901
High Road;2,5;89857
High School Musical;3,1;10947
High School Musical 2;3,2;13649
High School Musical 3: Senior Year;3,1;11887
Higher Ground;3,4;50875
Highlander;3,3;8009
Highlander III: The Sorcerer;2;8011
Highlander: Endgame;2;12211
Highway;3,8;18808
History of the World: Part I;3,4;10156
Hit & Run;2,8;109513
Hitch;2,9;8488
Hitman;2,3;1620
Hits;2,7;242083
Hobo with a Shotgun;3,1;49010
Hocus Pocus;3,5;10439
Hodejegerne;3,6;70670
Hoffa;3;10410
Holes;3,5;8326
Hollow Man;2,7;9383
Hollywood Ending;3;9689
Hollywood Homicide;2,2;11375
Hollywood Shuffle;3,6;34101
Holy Man;2,1;9713
Holy Motors;3,8;103328
Home;2,7;228161
Home Alone;3,8;771
Home Alone 2: Lost in New York;3,4;772
Home for the Holidays;3,2;9089
Home Fries;2,5;12257
Home on the Range;2,6;13700
Home Run;2,6;176124
Homefront;2,8;204082
Honey;2,6;10028
Hoodwinked Too! Hood VS. Evil;1,8;57089
Hoodwinked!;3;10982
Hook;3,3;879
Hoop Dreams;4,3;14275
Hoot;2,3;18276
Hop;2;50359
Hope Floats;2,8;9715
Hope Springs;2,9;82696
Horrible Bosses;3;51540
Horrible Bosses 2;2,7;227159
Horse Camp;-;306667
Hostage;2,9;2026
Hostel;2,7;1690
Hostel: Part II;2,7;1691
Hot Fuzz;4;4638
Hot Pursuit;2,2;268920
Hot Rod;3,6;10074
Hot Tub Time Machine;2,8;23048
Hot Tub Time Machine 2;2,1;243938
Hotel for Dogs;2,5;15189
Hotel Rwanda;3,7;205
Hotel Transylvania;3,2;76492
Hotel Transylvania 2;2,9;159824
House at the End of the Drive;-;280381
House at the End of the Street;2,3;82505
House of 1000 Corpses;3,2;2662
House of D;3;24363
House of Flying Daggers;3,6;9550
House of Sand and Fog;3,5;11093
House of Wax;2,9;10066
House on Haunted Hill;2,7;11377
House Party 2;2,6;16096
Housebound;3,4;253306
Housefull;2,9;58051
How Do You Know;2,3;42888
How Green Was My Valley;3,9;43266
How High;2,9;8386
How She Move;2,6;16988
How Stella Got Her Groove Back;2,9;33644
How the Grinch Stole Christmas;3,3;8871
How to Be a Player;2,5;28353
How to Be Single;2,8;259694
How to Deal;2,6;17403
How to Fall in Love;3;158150
How to Lose a Guy in 10 Days;3,3;9919
How to Lose Friends & Alienate People;2,6;13092
How to Train Your Dragon;3,9;10191
How to Train Your Dragon 2;3,7;82702
Howard the Duck;2,1;10658
Howards End;3,7;8293
Howls Moving Castle;4,3;4935
Hross í oss;3,4;217708
Hud;4;24748
Hudson Hawk;2,7;9292
Hugo;3,5;44826
Hulk;2,3;1927
Hum To Mohabbat Karega;-;325140
Human Traffic;3,6;11129
Hurricane Streets;3,2;125052
Hustle & Flow;3,5;10476
I Am Legend;3,3;6479
I Am Number Four;2,3;46529
I Am Sam;3,4;10950
I Am Wrath;2,1;332411
I Can Do Bad All By Myself;2,7;26367
I Come with the Rain;2,8;31166
I Don't Know How She Does It;2,2;70868
I Dreamed of Africa;2,5;21311
I Got the Hook Up;2,4;40505
I Heart Huckabees;3,3;1599
I Hope They Serve Beer in Hell;2;30128
I Know What You Did Last Summer;2,9;3597
I Love You Phillip Morris;3,3;8952
I Love You, Beth Cooper;2,3;19840
"I Love You, Don't Touch Me!
";3,1;90414
I Love You, Man;3,4;16538
I Love Your Work;2,7;25428
I Married a Strange Person!;3,5;51942
I Origins;3,7;244267
I Spit on Your Grave;2,6;43947
I Spy;2,3;8427
I Still Know What You Did Last Summer;2,3;3600
I Think I Love My Wife;2,4;14434
I Want Someone to Eat Cheese With;2,9;13066
I Want Your Money;2,9;47546
I, Frankenstein;1,7;100241
I, Robot;3,1;2048
Ice Age;3,4;425
Ice Age: Continental Drift;2,6;57800
Ice Age: Dawn of the Dinosaurs;3;8355
Ice Age: The Meltdown;3;950
Ice Princess;3;13374
Ida;3,9;209274
Identity;3,3;2832
Identity Thief;2,4;109431
Idiocracy;3,1;7512
Idle Hands;3,1;6552
Idlewild;2,9;13816
If I Stay;2,9;249164
Igby Goes Down;3,3;9685
Iguana;3,7;191229
Il buono, il brutto, il cattivo;4,4;429
Il conformista;4,1;8416
Illuminata;3;91076
I'm Not There.;3,6;3902
Imaginary Heroes;3,3;25350
Imagine Me & You;3,9;1544
Imagine That;2,4;19724
Immortals;2,5;37958
Impact Point;2,6;14156
Impostor;2,6;4965
In & Out;3,1;10806
In Bruges;4;8321
In Cold Blood;4;18900
In Dreams;2,5;28902
In Good Company;2,8;1901
In Her Line of Fire;2,5;56491
In the Bedroom;3,8;1999
In the Company of Men;3,5;14585
In the Cut;3,2;10944
In the Heart of the Sea;3;205775
In the Land of Blood and Honey;2,8;79777
In the Land of Women;2,7;13067
In the Name of the King III;1,4;252360
In the Name of the King: A Dungeon Siege Tale;1,5;2312
In the Shadow of the Moon;3,8;14284
In the Valley of Elah;3,3;6973
In Time;2,9;49530
In Too Deep;2,9;22314
Incendies;4,3;46738
Inception;4,2;27205
Inchon;1,7;113464
Incident at Loch Ness;3,2;48463
Independence Day;3,3;602
Independence Day: Resurgence;2,1;47933
Independence Daysaster;2;205126
Indiana Jones and the Kingdom of the Crystal Skull;2,6;217
Indiana Jones and the Last Crusade;4;89
Indiana Jones and the Temple of Doom;3,6;87
Indie Game: The Movie;3,6;80215
Indignation;3,3;340611
Inescapable;2,6;121676
Infamous;3,2;9672
Inglourious Basterds;4,3;16869
Inherent Vice;3,6;171274
Ink;3,2;24869
Inkheart;2,7;2309
Inside Deep Throat;3,2;12228
Inside Job;3,8;44639
