filme;nota;;;;;;
About Last Night;3;;;128;もののけ姫;;0
About Schmidt;3,5;;;149;アキラ;;0
About Time;3,9;;;315011;シン・ゴジラ;;0
Abraham Lincoln: Vampire Hunter;2,4;;;192577;キャプテンハーロック;;0
Absentia;3,1;;;36095;キュア;;0
Absolute Power;3,1;;;74084;दिल जो भी कहे;;0
Accidental Love;1,7;;;300168;天將雄師;;0
Ace Ventura: Pet Detective;3,1;;;14395;कभी अलविदा ना कहना;;0
Ace Ventura: When Nature Calls;2,9;;;32740;कृष;;0
Across the Universe;3,4;;;157293;एबीसीडी;;0
Act of Valor;2,5;;;280871;ராமானுஜன்;;0
Action Jackson;2,9;;;260778;வாலு;;0
Adam;3,3;;;11770;少林足球;;0
Adam Resurrected;3;;;173931;兔侠传奇;;0
Adaptation.;4;;;8202;Æon Flux;;0
Addicted;1,9;;;44092;剑雨;;0
Admission;2,5;;;330770;Évolution;;0
Adore;2,6;;;146;卧虎藏龙;;0
Adulterers;2,3;;;30596;十月圍城;;0
Adventureland;3,3;;;9550;十面埋伏;;0
After;2,5;;;13889;まあだだよ;;0
After Earth;1,7;;;21345;南京!南京!;;0
After the Sunset;2,7;;;129;千と千尋の神隠し;;0
After.Life;2,6;;;259943;归来;;0
Against the Ropes;2,3;;;15992;Abandon;;0
Against the Wild;2,6;;;356987;Abandoned;;0
Agent Cody Banks;2,3;;;59965;Abduction;;0
Agent Cody Banks 2: Destination London;2,1;;;26665;Aberdeen;;0
Agora;3,4;;;245;About a Boy;;0
Aimee & Jaguar;3,7;;;222899;About Last Night;;0
Air Bud;2,5;;;2755;About Schmidt;;0
Air Force One;3,2;;;122906;About Time;;0
Airborne;2,8;;;72331;Abraham Lincoln: Vampire Hunter;;0
Airlift;3,3;;;74777;Absentia;;0
Airplane!;3,8;;;66;Absolute Power;;0
Ajami;3,5;;;316002;Accidental Love;;0
Akeelah and the Bee;3,4;;;3049;Ace Ventura: Pet Detective;;0
Akira;4,2;;;9273;Ace Ventura: When Nature Calls;;0
Aladdin;3,9;;;4688;Across the Universe;;0
Alatriste;2,9;;;75674;Act of Valor;;0
Albert Nobbs;3;;;10117;Action Jackson;;0
Albino Alligator;2,8;;;22051;Adam;;0
Alex & Emma;2,3;;;18516;Adam Resurrected;;0
Alex Cross;1,9;;;2757;Adaptation.;;0
Alexander;2,6;;;235271;Addicted;;0
alexander and the terrible horrible no good very bad day;2,6;;;144340;Admission;;0
Alexander's Ragtime Band;3,1;;;111190;Adore;;0
Alfie;3,4;;;376004;Adulterers;;0
Ali;3,4;;;16614;Adventureland;;0
Alice in Wonderland;3;;;13807;放‧逐;;0
Alice Through the Looking Glass;2,7;;;1494;滿城盡帶黃金甲;;0
Alien;4,3;;;20083;新宿事件;;0
Alien Zone;2,7;;;14392;投名狀;;0
Alien: Resurrection;2,6;;;4935;ハウルの動く城;;0
Alien³;2,9;;;118612;After;;0
Aliens;4,1;;;82700;After Earth;;0
Aliens in the Attic;2,3;;;10589;After the Sunset;;0
Aliens vs Predator: Requiem;1,7;;;36419;After.Life;;0
Alive;3,3;;;8842;Against the Ropes;;0
All About Steve;1,9;;;246449;Against the Wild;;0
All About the Benjamins;2,7;;;10923;Agent Cody Banks;;0
All Good Things;2,8;;;17047;Agent Cody Banks 2: Destination London;;0
All Hat;-;;;26428;Agora;;0
All Is Bright;2,6;;;2211;Aimee & Jaguar;;0
All Is Lost;3,5;;;20737;Air Bud;;0
All or Nothing;3,8;;;9772;Air Force One;;0
All Superheroes Must Die;2,3;;;13064;Airborne;;0
All That Jazz;4,2;;;375290;Airlift;;0
All the Boys Love Mandy Lane;2,7;;;813;Airplane!;;0
All the King's Men;2,6;;;24424;Ajami;;0
All the Pretty Horses;2,7;;;13751;Akeelah and the Bee;;0
All The Queen's Men;2,5;;;812;Aladdin;;0
All the Real Girls;3,6;;;13495;Alatriste;;0
Allegiant;2,2;;;73873;Albert Nobbs;;0
Alleluia! The Devil's Carnival;3,3;;;8744;Albino Alligator;;0
Almost Famous;4;;;17813;Alex & Emma;;0
Aloft;2,6;;;94348;Alex Cross;;0
Aloha;2,2;;;1966;Alexander;;0
Alone in the Dark;3,2;;;218778;Alexander and the Terrible, Horrible, No Good, Very Bad Day;;0
Alone With Her;2,9;;;43839;Alexander's Ragtime Band;;0
Along Came a Spider;2,9;;;8849;Alfie;;0
Along Came Polly;2,8;;;8489;Ali;;0
Along the Roadside;3,2;;;12155;Alice in Wonderland;;0
Alpha and Omega;1,8;;;241259;Alice Through the Looking Glass;;0
Alpha and Omega: The Legend of the Saw Tooth Cave;1,8;;;348;Alien;;0
Alvin and the Chipmunks;2,4;;;77156;Alien Zone;;0
Alvin and the Chipmunks: Chipwrecked;2;;;8078;Alien: Resurrection;;0
Alvin and the Chipmunks: The Road Chip;1,9;;;8077;Alien³;;0
Alvin and the Chipmunks: The Squeakquel;2;;;679;Aliens;;0
Amadeus;4,2;;;20856;Aliens in the Attic;;0
Amen.;3,4;;;440;Aliens vs Predator: Requiem;;0
America Is Still the Place;-;;;7305;Alive;;0
American Beauty;4;;;23706;All About Steve;;0
American Desi;3,1;;;13950;All About the Benjamins;;0
American Dreamz;2,4;;;46503;All Good Things;;0
American Gangster;3,7;;;10914;All Hat;;0
American Graffiti;3,7;;;174311;All Is Bright;;0
American Heist;2,2;;;152747;All Is Lost;;0
American Hero;2,5;;;12454;All or Nothing;;0
American History X;4;;;86304;All Superheroes Must Die;;0
American Hustle;3,3;;;16858;All That Jazz;;0
American Ninja 2: The Confrontation;2,7;;;9022;All the Boys Love Mandy Lane;;0
American Outlaws;2,6;;;1717;All the King's Men;;0
American Pie;3,1;;;21355;All the Pretty Horses;;0
American Pie 2;2,8;;;31668;All The Queen's Men;;0
American Psycho;3,9;;;13132;All the Real Girls;;0
American Reunion;2,8;;;262504;Allegiant;;0
American Sniper;3,2;;;285743;Alleluia! The Devil's Carnival;;0
American Splendor;3,7;;;786;Almost Famous;;0
American Wedding;2,7;;;251321;Aloft;;0
America's Sweethearts;2,6;;;222936;Aloha;;0
Amidst the Devil's Wings;-;;;12142;Alone in the Dark;;0
Amigo;3,1;;;18206;Alone With Her;;0
Amistad;3,3;;;2043;Along Came a Spider;;0
Amnesiac;1,8;;;5966;Along Came Polly;;0
Among Giants;3,1;;;173224;Along the Roadside;;0
Amores perros;4,1;;;12819;Alpha and Omega;;0
Amour;4,1;;;294512;Alpha and Omega: The Legend of the Saw Tooth Cave;;0
An Alan Smithee Film: Burn, Hollywood;1,6;;;6477;Alvin and the Chipmunks;;0
An American Carol;1,4;;;55301;Alvin and the Chipmunks: Chipwrecked;;0
An American Haunting;2,1;;;258509;Alvin and the Chipmunks: The Road Chip;;0
An American in Hollywood;-;;;23398;Alvin and the Chipmunks: The Squeakquel;;0
An Education;3,5;;;279;Amadeus;;0
An Everlasting Piece;3,1;;;9045;Amen.;;0
An Ideal Husband,3;1;;;380097;America Is Still the Place;;0
An Inconvenient Truth;3,4;;;14;American Beauty;;0
An Unfinished Life;3,1;;;32222;American Desi;;0
Anaconda;2,3;;;9310;American Dreamz;;0
Anacondas: The Hunt for the Blood Orchid;2,2;;;4982;American Gangster;;0
Analyze That;2,7;;;838;American Graffiti;;0
Analyze This;3,2;;;250066;American Heist;;0
Anastasia;3,7;;;367551;American Hero;;0
Anatomie;-;;;73;American History X;;0
Anchorman 2: The Legend Continues;2,8;;;168672;American Hustle;;0
Anchorman: The Legend of Ron Burgundy;3,5;;;25678;American Ninja 2: The Confrontation;;0
And So It Goes;2,5;;;13496;American Outlaws;;0
And Then Came Love;-;;;2105;American Pie;;0
And When Did You Last See Your Father?;3,2;;;2770;American Pie 2;;0
