filme;nota;;;;;;
Equilibrium;3,2;;;137113;Edge of Tomorrow;;0
Eragon;1,7;;;18191;Edmond;;0
Eraser;2,8;;;11374;Edtv;;0
Eraserhead;3,9;;;162;Edward Scissorhands;;0
Erin Brockovich;3,7;;;9036;Eight Below;;0
Ernest et Celestine;4;;;8869;Eight Legged Freaks;;0
Escape from Alcatraz;3,7;;;542;El Crimen del Padre Amaro;;0
Escape from L.A.;2,8;;;1417;El laberinto del fauno;;0
Escape from New York;3,6;;;9367;El Mariachi;;0
Escape from Planet Earth;2,1;;;6537;El orfanato;;0
Escape from the Planet of the Apes;3,1;;;119657;El Rey de Najayo;;0
Escape from Tomorrow;2,2;;;25376;El secreto de sus ojos;;0
Escape Plan;2,9;;;9451;Election;;0
Escobar: Paradise Lost;2,8;;;9947;Elektra;;0
Eternal Sunshine of the Spotless Mind;4,2;;;10719;Elf;;0
Eulogy;2,8;;;4518;Elizabeth;;0
EuroTrip;2,9;;;4517;Elizabeth: The Golden Age;;0
Evan Almighty;2,3;;;9621;Elizabethtown;;0
Event Horizon;3,3;;;14442;Ella Enchanted;;0
EverAfter;3,5;;;53457;Elle s'appelait Sarah;;0
Everest;3,2;;;6007;Elling;;0
Everybody's Fine;3,1;;;22013;Elmer Gantry;;0
Everyone Says I Love You;3,3;;;268171;Elsa & Fred;;0
Everything Must Go;3;;;68724;Elysium;;0
Everything Put Together;3,2;;;183894;Emma;;0
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask;3,2;;;9794;Employee of the Month;;0
Eve's Bayou;3,8;;;4523;Enchanted;;0
Evil Dead;3,4;;;9946;End of Days;;0
Evil Dead II;4,1;;;14120;End of the Spear;;0
Evita;3;;;77016;End of Watch;;0
Evolution;2,7;;;80274;Ender's Game;;0
Ex Machina;4;;;226857;Endless Love;;0
Exam;3;;;853;Enemy at the Gates;;0
Excessive Force;2,9;;;9798;Enemy of the State;;0
Executive Decision;3;;;1957;Enough;;0
Exiled;3,9;;;209263;Enough Said;;0
eXistenZ;3,5;;;98568;Enter Nowhere;;0
Exit Wounds;2,5;;;176077;Enter the Dangerous Mind;;0
Exodus: Gods and Kings;2,4;;;34647;Enter the Void;;0
Exorcist II: The Heretic;2;;;1844;Entrapment;;0
Exorcist: The Beginning;2,1;;;8841;Entre les murs;;0
Exotica;3,9;;;10710;Envy;;0
Extract;2,8;;;116711;Epic;;0
Extraordinary Measures;2,6;;;9760;Epic Movie;;0
Extreme Measures;2,8;;;7299;Equilibrium;;0
Extreme Movie;1,4;;;2486;Eragon;;0
Extreme Ops;2;;;9268;Eraser;;0
Extremely Loud & Incredibly Close;3;;;985;Eraserhead;;0
Eye for an Eye;3,4;;;462;Erin Brockovich;;0
Eye of the Beholder;2,3;;;126319;Ernest et Célestine;;0
Eye of the Dolphin;3;;;10734;Escape from Alcatraz;;0
Eyes Wide Shut;4;;;10061;Escape from L.A.;;0
F.I.S.T.;3;;;1103;Escape from New York;;0
Fabled;-;;;68179;Escape from Planet Earth;;0
Face/Off;3,4;;;1687;Escape from the Planet of the Apes;;0
Facing the Giants;2,4;;;158752;Escape from Tomorrow;;0
Factory Girl;3;;;107846;Escape Plan;;0
Fahrenheit 9/11;3,4;;;255343;Escobar: Paradise Lost;;0
Failure to Launch;2,4;;;38;Eternal Sunshine of the Spotless Mind;;0
Fair Game;3;;;16358;Eulogy;;0
Faith Connections;3,5;;;9352;EuroTrip;;0
Faith Like Potatoes;2,6;;;2698;Evan Almighty;;0
Faithful;2,7;;;8413;Event Horizon;;0
Falcon Rising;2,6;;;9454;EverAfter;;0
Fame;3,3;;;253412;Everest;;0
Family Plot;3,3;;;26171;Everybody's Fine;;0
Fantasia;3,8;;;9716;Everyone Says I Love You;;0
Fantasia 2000;3,5;;;45658;Everything Must Go;;0
Fantastic Four;1,4;;;81220;Everything Put Together;;0
Fantastic Mr. Fox;4,2;;;11624;Everything You Always Wanted to Know About Sex *But Were Afraid to Ask;;0
Far from Heaven;3,7;;;45153;Eve's Bayou;;0
Farce of the Penguins;1,7;;;109428;Evil Dead;;0
Fascination;3,4;;;765;Evil Dead II;;0
Fast Five;3,4;;;8818;Evita;;0
Fast Times at Ridgemont High;3,5;;;264660;Ex Machina;;0
Faster;2,7;;;29917;Exam;;0
Fat Albert;2;;;24227;Excessive Force;;0
Fat, Sick & Nearly Dead;3,2;;;2320;Executive Decision;;0
Fatal Attraction;3,4;;;1946;eXistenZ;;0
Fear and Loathing in Las Vegas;3,7;;;10877;Exit Wounds;;0
Fear Clinic;2,2;;;147441;Exodus: Gods and Kings;;0
FearDotCom;1,6;;;11586;Exorcist II: The Heretic;;0
Feast;4;;;11026;Exorcist: The Beginning;;0
Felicia's Journey;3,4;;;20156;Exotica;;0
Femme Fatale;3,4;;;12569;Extract;;0
Festen;3,9;;;27569;Extraordinary Measures;;0
Fetching Cody;3,2;;;11306;Extreme Measures;;0
Fever Pitch;2,8;;;15544;Extreme Movie;;0
Fiddler on the Roof;4;;;15074;Extreme Ops;;0
Fido;3,2;;;64685;Extremely Loud & Incredibly Close;;0
Fifty Dead Men Walking;3,1;;;17182;Eye for an Eye;;0
Fifty Shades of Black;1,4;;;18681;Eye of the Beholder;;0
Fifty Shades of Grey;1,8;;;46849;Eye of the Dolphin;;0
Fight Club;4,3;;;345;Eyes Wide Shut;;0
Fight to the Finish;-;;;28932;F.I.S.T.;;0
Fight Valley;2,2;;;43743;Fabled;;0
Fighting Tommy Riley;3,1;;;754;Face/Off;;0
Filly Brown;2,8;;;18925;Facing the Giants;;0
Final Destination;3,1;;;12271;Factory Girl;;0
Final Destination 2;2,9;;;1777;Fahrenheit 9/11;;0
Final Destination 3;2,9;;;6877;Failure to Launch;;0
Final Destination 5;2,8;;;38363;Fair Game;;0
Final Fantasy: The Spirits Within;2,5;;;211086;Faith Connections;;0
Find Me Guilty;3,3;;;29697;Faith Like Potatoes;;0
Finding Forrester;3,3;;;47502;Faithful;;0
Finding Nemo;4;;;270938;Falcon Rising;;0
Finding Neverland;3,4;;;28665;Fame;;0
Finishing The Game;3;;;5854;Family Plot;;0
Firefox;2,7;;;756;Fantasia;;0
Fireproof;2,2;;;49948;Fantasia 2000;;0
Firestarter;1,8;;;166424;Fantastic Four;;0
Firestorm;2,9;;;10315;Fantastic Mr. Fox;;0
Firewall;2,5;;;10712;Far from Heaven;;0
First Blood;3,7;;;12486;Farce of the Penguins;;0
First Knight;2,7;;;71547;Fascination;;0
First Love, Last Rites;3;;;51497;Fast Five;;0
Fish Tank;3,8;;;13342;Fast Times at Ridgemont High;;0
Fiza;2,9;;;41283;Faster;;0
Flags of Our Fathers;3,3;;;15045;Fat Albert;;0
Flammen & Citronen;3,4;;;72914;Fat, Sick & Nearly Dead;;0
Flash Gordon;3,2;;;10998;Fatal Attraction;;0
Flash of Genius;3,2;;;1878;Fear and Loathing in Las Vegas;;0
Flashdance;3,1;;;287524;Fear Clinic;;0
Flatliners;3,1;;;9544;FearDotCom;;0
Flawless;3;;;10070;Feast;;0
Fled;2,4;;;47692;Felicia's Journey;;0
Flicka;2,6;;;9280;Femme Fatale;;0
Flight;3,3;;;309;Festen;;0
Flight of the Intruder;2,6;;;46729;Fetching Cody;;0
Flight of the Phoenix;2,7;;;11431;Fever Pitch;;0
Flightplan;2,9;;;14811;Fiddler on the Roof;;0
Flipped;3,8;;;10288;Fido;;0
Flipper;2,3;;;17622;Fifty Dead Men Walking;;0
Flirting with Disaster;3,4;;;351819;Fifty Shades of Black;;0
Florence Foster Jenkins;3,1;;;216015;Fifty Shades of Grey;;0
Flubber;2,5;;;550;Fight Club;;0
Flushed Away;3;;;380733;Fight to the Finish;;0
Flyboys;2,8;;;385383;Fight Valley;;0
Flying By;-;;;47534;Fighting Tommy Riley;;0
Flywheel;2,1;;;84197;Filly Brown;;0
Focus;3;;;9532;Final Destination;;0
Food Chains;3,4;;;9358;Final Destination 2;;0
Food, Inc.;3,5;;;9286;Final Destination 3;;0
Foodfight!;0,9;;;55779;Final Destination 5;;0
Foolish;2,7;;;2114;Final Fantasy: The Spirits Within;;0
Fool's Gold;2,5;;;9950;Find Me Guilty;;0
Footloose;3,3;;;711;Finding Forrester;;0
For a Good Time, Call...;3,1;;;12;Finding Nemo;;0
For Colored Girls;3,1;;;866;Finding Neverland;;0
For Greater Glory - The True Story of Cristiada;2,8;;;13983;Finishing The Game;;0
For Love of the Game;2,9;;;10724;Firefox;;0
For Your Consideration;3,1;;;14438;Fireproof;;0
For Your Eyes Only;3,1;;;11495;Firestarter;;0
Force 10 from Navarone;3,1;;;9754;Firewall;;0
Forget Me Not;3,7;;;1368;First Blood;;0
Forgetting Sarah Marshall;3,4;;;6520;First Knight;;0
Forrest Gump;4,1;;;118452;First Love, Last Rites;;0
Forsaken;2,9;;;24469;Fish Tank;;0
Fort McCoy;-;;;56666;Fiza;;0
Fortress;2,9;;;3683;Flags of Our Fathers;;0
Forty Shades of Blue;3,1;;;8883;Flammen & Citronen;;0
Four Brothers;3,1;;;3604;Flash Gordon;;0
Four Christmases;2,6;;;14914;Flash of Genius;;0
Four Lions;3,8;;;535;Flashdance;;0
Four Rooms;3,1;;;1551;Flatliners;;0
Four Single Fathers;-;;;31582;Flawless;;0
Four Weddings and a Funeral;3,4;;;18550;Fled;;0
Frailty;3,5;;;14012;Flicka;;0
Frances Ha;4;;;87502;Flight;;0
Frankenweenie;3,4;;;18886;Flight of the Intruder;;0
Frat Party;2;;;11866;Flight of the Phoenix;;0
Freakonomics;3;;;9315;Flightplan;;0
Freaky Deaky;2,4;;;43949;Flipped;;0
Freaky Friday;3,3;;;36355;Flipper;;0
Freddy Got Fingered;2,8;;;2074;Flirting with Disaster;;0
Freddy vs. Jason;2,7;;;315664;Florence Foster Jenkins;;0
Freddy's Dead: The Final Nightmare;2,2;;;9574;Flubber;;0
Free Birds;2,2;;;11619;Flushed Away;;0
Free State of Jones;3,1;;;9664;Flyboys;;0
Free Style;2,7;;;19615;Flying By;;0
Freedom;3,7;;;17345;Flywheel;;0
Freedom Writers;3,6;;;256591;Focus;;0
Freeheld;3,2;;;292539;Food Chains;;0
Freeway;3,4;;;18570;Food, Inc.;;0
Freeze Frame;3,1;;;116977;Foodfight!;;0
Frenzy;3,6;;;27455;Foolish;;0
Frequency;3,4;;;8676;Fool's Gold;;0
Frida;3,6;;;1788;Footloose;;0
Friday;3,6;;;84200;For a Good Time, Call...;;0
Friday After Next;2,7;;;44944;For Colored Girls;;0
Friday the 13th Part 2;3,1;;;96399;For Greater Glory - The True Story of Cristiada;;0
Friday the 13th Part III;2,8;;;10390;For Love of the Game;;0
Friday the 13th Part VI: Jason Lives;3,3;;;14799;For Your Consideration;;0
Friday the 13th Part VII: The New Blood;2,6;;;699;For Your Eyes Only;;0
Friday the 13th Part VIII: Jason Takes Manhattan;2,2;;;17339;Force 10 from Navarone;;0
Friday the 13th: A New Beginning;2,4;;;27588;Forget Me Not;;0
Friday the 13th: The Final Chapter;3,2;;;9870;Forgetting Sarah Marshall;;0
Friends with Benefits;2,9;;;13;Forrest Gump;;0
Friends with Money;2,7;;;354110;Forsaken;;0
Fright Night;3,6;;;281230;Fort McCoy;;0
From a Whisper to a Scream;3;;;12088;Fortress;;0
From Dusk Till Dawn;3,5;;;30082;Forty Shades of Blue;;0
From Hell;3;;;8292;Four Brothers;;0
From Here to Eternity;3,7;;;12193;Four Christmases;;0
From Justin to Kelly;1,4;;;37495;Four Lions;;0
From Paris with Love;2,6;;;5;Four Rooms;;0
From Russia with Love;3,6;;;79587;Four Single Fathers;;0
Frost/Nixon;3,6;;;712;Four Weddings and a Funeral;;0
Frozen;3,4;;;12149;Frailty;;0
Frozen River;3,5;;;121986;Frances Ha;;0
Fruitvale Station;3,9;;;62214;Frankenweenie;;0
Fuel;3,4;;;26673;Frat Party;;0
Fugly;2,4;;;43942;Freakonomics;;0
Full Frontal;2,6;;;168027;Freaky Deaky;;0
Fun Size;2,4;;;10330;Freaky Friday;;0
Fun with Dick and Jane;2,8;;;13166;Freddy Got Fingered;;0
Funny Games;3,9;;;6466;Freddy vs. Jason;;0
Funny Ha Ha;3,4;;;11284;Freddy's Dead: The Final Nightmare;;0
Funny People;3;;;175574;Free Birds;;0
Fur: An Imaginary Portrait of Diane Arbus;3,1;;;316152;Free State of Jones;;0
Furious 7;3,2;;;39055;Free Style;;0
Furry Vengeance;1,6;;;288980;Freedom;;0
Fury;3,6;;;1646;Freedom Writers;;0
G.I. Jane;2,8;;;306745;Freeheld;;0
G.I. Joe: Retaliation;2,3;;;11229;Freeway;;0
G.I. Joe: The Rise of Cobra;2,2;;;12612;Freeze Frame;;0
Gabriela, Cravo e Canela;3,1;;;573;Frenzy;;0
Galaxina;2,1;;;10559;Frequency;;0
Galaxy Quest;3,7;;;1360;Frida;;0
Gamer;2,4;;;10634;Friday;;0
Gandhi;3,6;;;10426;Friday After Next;;0
Gandhi, My Father;3,4;;;9725;Friday the 13th Part 2;;0
Gangs of New York;3,6;;;9728;Friday the 13th Part III;;0
Gangster Squad;2,7;;;10225;Friday the 13th Part VI: Jason Lives;;0
Garden State;3,4;;;10281;Friday the 13th Part VII: The New Blood;;0
Garfield;2,3;;;10283;Friday the 13th Part VIII: Jason Takes Manhattan;;0
Garfield: A Tail of Two Kitties;2,2;;;9731;Friday the 13th: A New Beginning;;0
Gattaca;3,7;;;9730;Friday the 13th: The Final Chapter;;0
Gentleman's Agreement;3,4;;;50544;Friends with Benefits;;0
Gentlemen Broncos;3,1;;;8998;Friends with Money;;0
George and the Dragon;2,6;;;58151;Fright Night;;0
George of the Jungle;2,6;;;39895;From a Whisper to a Scream;;0
George Washington;3,8;;;755;From Dusk Till Dawn;;0
Georgia Rule;2,6;;;768;From Hell;;0
Gerry;3,3;;;11426;From Here to Eternity;;0
Get Carter;2,2;;;31246;From Justin to Kelly;;0
Get Hard;2,4;;;26389;From Paris with Love;;0
Get Him to the Greek;2,8;;;657;From Russia with Love;;0
Get Low;3,2;;;11499;Frost/Nixon;;0
Get on the Bus;3,6;;;109445;Frozen;;0
Get on Up;3,3;;;10183;Frozen River;;0
Get Over It;2,7;;;157354;Fruitvale Station;;0
Get Rich or Die Tryin';2,9;;;13518;Fuel;;0
Get Shorty;3,4;;;281730;Fugly;;0
Get Smart;2,8;;;15186;Full Frontal;;0
Getaway;1,8;;;82679;Fun Size;;0
Gettysburg;3,5;;;7552;Fun with Dick and Jane;;0
G-Force;2;;;8461;Funny Games;;0
Ghost;3,4;;;33693;Funny Ha Ha;;0
Ghost Dog: The Way of the Samurai;3,9;;;20829;Funny People;;0
Ghost Rider;2,2;;;18615;Fur: An Imaginary Portrait of Diane Arbus;;0
Ghost Rider: Spirit of Vengeance;1,9;;;168259;Furious 7;;0
Ghost Ship;2,4;;;35169;Furry Vengeance;;0
Ghost Town;2,8;;;228150;Fury;;0
Ghost World;3,6;;;4421;G.I. Jane;;0
Ghostbusters;2,4;;;72559;G.I. Joe: Retaliation;;0
Ghosts of Mars;2,4;;;14869;G.I. Joe: The Rise of Cobra;;0
Ghosts of Mississippi;2,9;;;42109;Gabriela, Cravo e Canela;;0
Gigli;1,2;;;33155;Galaxina;;0
Girl 6;3,2;;;926;Galaxy Quest;;0
Girl with a Pearl Earring;3,2;;;18501;Gamer;;0
Girl, Interrupted;3,9;;;783;Gandhi;;0
GirlHouse;2,7;;;38428;Gandhi, My Father;;0
Girls Gone Dead;1,9;;;3131;Gangs of New York;;0
Give Me Shelter;-;;;82682;Gangster Squad;;0
Gladiator;4;;;401;Garden State;;0
Glee: The Concert Movie;3,4;;;8920;Garfield;;0
Glengarry Glen Ross;3,9;;;9513;Garfield: A Tail of Two Kitties;;0
Gli intoccabili;3,7;;;782;Gattaca;;0
Glitter;1,8;;;33667;Gentleman's Agreement;;0
Glory;3,7;;;22820;Gentlemen Broncos;;0
Glory Road;3,2;;;5494;George and the Dragon;;0
Go;3,5;;;10603;George of the Jungle;;0
Go for It!;2,7;;;18292;George Washington;;0
Goal!: The Dream Begins;3;;;13159;Georgia Rule;;0
Goddess of Love;2,8;;;1956;Gerry;;0
Gods and Generals;2,6;;;10461;Get Carter;;0
Gods and Monsters;3,6;;;257091;Get Hard;;0
God's Not Dead 2;1,3;;;32823;Get Him to the Greek;;0
Gods of Egypt;1,9;;;44718;Get Low;;0
Godsend;2;;;49471;Get on the Bus;;0
Going the Distance;2,9;;;239566;Get on Up;;0
Gojira ni-sen mireniamu;3,1;;;10050;Get Over It;;0
GoldenEye;3,5;;;10060;Get Rich or Die Tryin';;0
Goldfinger;3,7;;;8012;Get Shorty;;0
Gone Girl;4,1;;;11665;Get Smart;;0
Gone in Sixty Seconds;2,9;;;146227;Getaway;;0
Gone with the Wind;3,8;;;10655;Gettysburg;;0
Good;2,8;;;19585;G-Force;;0
Good Boy!;2,8;;;251;Ghost;;0
Good bye, Lenin!;3,8;;;4816;Ghost Dog: The Way of the Samurai;;0
Good Deeds;2,6;;;1250;Ghost Rider;;0
Good Dick;3;;;71676;Ghost Rider: Spirit of Vengeance;;0
Good Intentions;3,2;;;9645;Ghost Ship;;0
Good Kill;2,9;;;12797;Ghost Town;;0
Good Luck Chuck;2;;;1548;Ghost World;;0
Good Morning, Vietnam;3,6;;;43074;Ghostbusters;;0
Good Night, and Good Luck.;3,6;;;10016;Ghosts of Mars;;0
Good Will Hunting;4,2;;;31908;Ghosts of Mississippi;;0
Goodbye Bafana;3,2;;;8046;Gigli;;0
GoodFellas;4,4;;;61752;Girl 6;;0
Goosebumps;2,8;;;3635;Girl with a Pearl Earring;;0
Gory Gory Hallelujah;3;;;3558;Girl, Interrupted;;0
Gosford Park;3,6;;;312791;GirlHouse;;0
Gossip;2,7;;;117942;Girls Gone Dead;;0
Gothika;2,6;;;274758;Give Me Shelter;;0
Grabbers;3,2;;;98;Gladiator;;0
Grace of Monaco;2,5;;;67675;Glee: The Concert Movie;;0
Grace Unplugged;2,4;;;9504;Glengarry Glen Ross;;0
Gracie;2,8;;;45138;Gli intoccabili;;0
Graduation Day;2,6;;;10696;Glitter;;0
Gran Torino;3,7;;;9665;Glory;;0
Grand Theft Parsons;2,8;;;9918;Glory Road;;0
Grandma's Boy;3;;;9430;Go;;0
Grave Encounters;2,9;;;61038;Go for It!;;0
Gravity;3,5;;;9763;Goal!: The Dream Begins;;0
Grease;3,5;;;347764;Goddess of Love;;0
Green Lantern;1,7;;;16072;Gods and Generals;;0
Green Room;3,7;;;3033;Gods and Monsters;;0
Green Street Hooligans: Underground;2,2;;;347126;God's Not Dead 2;;0
Green Zone;3;;;205584;Gods of Egypt;;0
Gremlins;3,6;;;11058;Godsend;;0
Gremlins 2: The New Batch;3,4;;;38073;Going the Distance;;0
Gridiron Gang;3,1;;;10643;Gojira ni-sen mireniamu;;0
Griff the Invisible;3,1;;;710;GoldenEye;;0
Grindhouse;3,6;;;658;Goldfinger;;0
Groove;3,3;;;210577;Gone Girl;;0
Grosse Pointe Blank;3,6;;;9679;Gone in Sixty Seconds;;0
Groundhog Day;3,8;;;770;Gone with the Wind;;0
Growing Up Smith;3,3;;;12410;Good;;0
Grown Ups;3,7;;;21765;Good Boy!;;0
Grown Ups 2;2,3;;;338;Good bye, Lenin!;;0
Grudge Match;2,6;;;62008;Good Deeds;;0
Guardians of the Galaxy;3,8;;;14758;Good Dick;;0
Guess Who;2,5;;;34417;Good Intentions;;0
Guiana 1838;-;;;253626;Good Kill;;0
Gulliver's Travels;2;;;10030;Good Luck Chuck;;0
Gun Shy;2,4;;;801;Good Morning, Vietnam;;0
Gunless;3;;;3291;Good Night, and Good Luck.;;0
Guten Tag, Ramón;3,5;;;489;Good Will Hunting;;0
H.;3,1;;;1874;Goodbye Bafana;;0
Ha-Buah;3,4;;;769;GoodFellas;;0
Hachi: A Dog's Tale;3,7;;;257445;Goosebumps;;0
Hackers;3,2;;;281189;Gory Gory Hallelujah;;0
Hai Marjawaan!;2,9;;;5279;Gosford Park;;0
Hail, Caesar!;3,2;;;18041;Gossip;;0
Hairspray;3,5;;;4970;Gothika;;0
Hakon Hakonsen;3;;;84204;Grabbers;;0
Half Baked;3,1;;;215211;Grace of Monaco;;0
Half Nelson;3,5;;;206284;Grace Unplugged;;0
Half Past Dead;2;;;15568;Gracie;;0
Hall Pass;2,3;;;27420;Graduation Day;;0
Halloween;3,9;;;13223;Gran Torino;;0
Halloween 4: The Return of Michael Myers;2,9;;;16433;Grand Theft Parsons;;0
Halloween 5: The Revenge of Michael Myers;2,2;;;9900;Grandma's Boy;;0
Halloween II;3,2;;;50698;Grave Encounters;;0
Halloween III: Season of the Witch;3;;;49047;Gravity;;0
Halloween: Resurrection;1,7;;;621;Grease;;0
Halloween: The Curse of Michael Myers;2,1;;;44912;Green Lantern;;0
Hamlet;3,7;;;313922;Green Room;;0
Hamlet 2;3,1;;;182873;Green Street Hooligans: Underground;;0
Hancock;2,7;;;22972;Green Zone;;0
Hands of Stone;2,9;;;927;Gremlins;;0
Hang 'em High;3,3;;;928;Gremlins 2: The New Batch;;0
Hanging Up;2,3;;;9766;Gridiron Gang;;0
Hanna;3,3;;;66942;Griff the Invisible;;0
Hannah Montana: The Movie;3,2;;;285923;Grindhouse;;0
Hannibal Rising;2,5;;;23655;Groove;;0
Hansel & Gretel: Witch Hunters;2,5;;;9434;Grosse Pointe Blank;;0
Hansel and Gretel Get Baked;2,1;;;137;Groundhog Day;;0
Happily N'Ever After;1,9;;;426469;Growing Up Smith;;0
Happiness;3,9;;;38365;Grown Ups;;0
Happy Christmas;2,9;;;109418;Grown Ups 2;;0
Happy Feet;2,9;;;64807;Grudge Match;;0
Happy Feet Two;2,5;;;118340;Guardians of the Galaxy;;0
Happy Gilmore;3,4;;;11638;Guess Who;;0
Happy, Texas;2,9;;;62402;Guiana 1838;;0
Hard Candy;3,5;;;38745;Gulliver's Travels;;0
Hard Rain;2,8;;;29076;Gun Shy;;0
Hard to be a God;3,8;;;43090;Gunless;;0
Hardball;3;;;242575;Guten Tag, Ramón;;0
Hardflip;2,5;;;289180;H.;;0
Harley Davidson and the Marlboro Man;2,8;;;71805;Håkon Håkonsen;;0
Harold & Kumar Escape from Guantanamo Bay;2,8;;;15976;Ha-Buah;;0
Harold & Kumar Go to White Castle;3,3;;;28178;Hachi: A Dog's Tale;;0
Harper;3,4;;;10428;Hackers;;0
Harriet the Spy;2,9;;;42057;Hai Marjawaan!;;0
Harrison Montgomery;-;;;270487;Hail, Caesar!;;0
Harry Brown;3,3;;;2976;Hairspray;;0
Harry Potter and the Chamber of Secrets;3,6;;;9490;Half Baked;;0
Harry Potter and the Goblet of Fire;3,8;;;7859;Half Nelson;;0
Harry Potter and the Half-Blood Prince;3,7;;;10167;Half Past Dead;;0
Harry Potter and the Order of the Phoenix;3,7;;;48988;Hall Pass;;0
Harry Potter and the Philosopher's Stone;3,8;;;948;Halloween;;0
Harry Potter and the Prisoner of Azkaban;4,1;;;11357;Halloween 4: The Return of Michael Myers;;0
Harsh Times;3;;;11361;Halloween 5: The Revenge of Michael Myers;;0
Hart's War;2,8;;;24150;Halloween II;;0
Harvard Man;2,3;;;10676;Halloween III: Season of the Witch;;0
Hatchet;2,9;;;11442;Halloween: Resurrection;;0
Haute tension;3,2;;;10987;Halloween: The Curse of Michael Myers;;0
Hav Plenty;3,2;;;10549;Hamlet;;0
Hayride;2,1;;;12621;Hamlet 2;;0
Haywire;3;;;8960;Hancock;;0
He Got Game;3,6;;;184341;Hands of Stone;;0
Head of State;2,6;;;4929;Hang 'em High;;0
Head Over Heels;2,6;;;10385;Hanging Up;;0
Heartbeeps;2,1;;;50456;Hanna;;0
Heartbreakers;2,8;;;18126;Hannah Montana: The Movie;;0
Hearts in Atlantis;3,1;;;1248;Hannibal Rising;;0
Heaven is for Real;2,3;;;60304;Hansel & Gretel: Witch Hunters;;0
Heavenly Creatures;3,7;;;165864;Hansel and Gretel Get Baked;;0
Heaven's Gate;3,7;;;5393;Happily N'Ever After;;0
Heavy Metal;3,3;;;10683;Happiness;;0
Hedwig and the Angry Inch;4;;;244534;Happy Christmas;;0
Heist;3,2;;;9836;Happy Feet;;0
Held Up;2,5;;;65759;Happy Feet Two;;0
Heli;3,5;;;9614;Happy Gilmore;;0
Hellboy;3,4;;;24066;Happy, Texas;;0
Hellboy II: The Golden Army;3,4;;;2652;Hard Candy;;0
Hellraiser;3,5;;;11258;Hard Rain;;0
Hell's Angels;3,4;;;20857;Hardball;;0
Henry & Me;3;;;112456;Hardflip;;0
Henry V;3,7;;;2453;Harley Davidson and the Marlboro Man;;0
Her;4;;;13335;Harold & Kumar Escape from Guantanamo Bay;;0
Her Cry: La Llorona Investigation;-;;;11282;Harold & Kumar Go to White Castle;;0
Herbie Fully Loaded;2,4;;;26268;Harper;;0
Hercules;3,7;;;38223;Harriet the Spy;;0
Here Comes the Boom;2,6;;;279759;Harrison Montgomery;;0
Here On Earth;2,2;;;25941;Harry Brown;;0
Hereafter;2,8;;;672;Harry Potter and the Chamber of Secrets;;0
Hero;3,8;;;674;Harry Potter and the Goblet of Fire;;0
Heroes of Dirt;-;;;767;Harry Potter and the Half-Blood Prince;;0
He's Just Not That Into You;2,8;;;675;Harry Potter and the Order of the Phoenix;;0
Hesher;3,3;;;671;Harry Potter and the Philosopher's Stone;;0
Hey Arnold! The Movie;2,9;;;673;Harry Potter and the Prisoner of Azkaban;;0
Hidalgo;3,1;;;7873;Harsh Times;;0
Hide and Seek;2,8;;;10592;Hart's War;;0
High Anxiety;3,2;;;27451;Harvard Man;;0
High Crimes;2,8;;;11908;Hatchet;;0
High Fidelity;3,6;;;10226;Haute tension;;0
High Heels and Low Lifes;2,8;;;51955;Hav Plenty;;0
High Noon;3,9;;;193603;Hayride;;0
High Plains Drifter;3,7;;;70435;Haywire;;0
High Road;2,5;;;9469;He Got Game;;0
High School Musical;3,1;;;9776;Head of State;;0
High School Musical 2;3,2;;;24940;Head Over Heels;;0
High School Musical 3: Senior Year;3,1;;;73247;Heartbeeps;;0
Higher Ground;3,4;;;10833;Heartbreakers;;0
Highlander;3,3;;;11313;Hearts in Atlantis;;0
Highlander III: The Sorcerer;2;;;236751;Heaven is for Real;;0
Highlander: Endgame;2;;;1024;Heavenly Creatures;;0
Highway;3,8;;;10935;Heaven's Gate;;0
History of the World: Part I;3,4;;;11827;Heavy Metal;;0
Hit & Run;2,8;;;13403;Hedwig and the Angry Inch;;0
Hitch;2,9;;;336004;Heist;;0
Hitman;2,3;;;19489;Held Up;;0
Hits;2,7;;;186935;Heli;;0
Hobo with a Shotgun;3,1;;;1487;Hellboy;;0
Hocus Pocus;3,5;;;11253;Hellboy II: The Golden Army;;0
Hodejegerne;3,6;;;9003;Hellraiser;;0
Hoffa;3;;;22301;Hell's Angels;;0
Holes;3,5;;;292481;Henry & Me;;0
Hollow Man;2,7;;;10705;Henry V;;0
Hollywood Ending;3;;;152601;Her;;0
Hollywood Homicide;2,2;;;220490;Her Cry: La Llorona Investigation;;0
Hollywood Shuffle;3,6;;;11451;Herbie Fully Loaded;;0
Holy Man;2,1;;;184315;Hercules;;0
Holy Motors;3,8;;;87826;Here Comes the Boom;;0
Home;2,7;;;13539;Here On Earth;;0
Home Alone;3,8;;;44603;Hereafter;;0
Home Alone 2: Lost in New York;3,4;;;354624;Heroes of Dirt;;0
Home for the Holidays;3,2;;;10184;He's Just Not That Into You;;0
Home Fries;2,5;;;44835;Hesher;;0
Home on the Range;2,6;;;17710;Hey Arnold! The Movie;;0
Home Run;2,6;;;2023;Hidalgo;;0
Homefront;2,8;;;11096;Hide and Seek;;0
Honey;2,6;;;12535;High Anxiety;;0
Hoodwinked Too! Hood VS. Evil;1,8;;;11560;High Crimes;;0
Hoodwinked!;3;;;243;High Fidelity;;0
